,,,,,,,,,,
Monthly Revenue and Transaction Volume,,,,,,,,,,
,,,,,,,,,,
Year,SUM of Total_Revenue,COUNTA of Transaction_ID,,,,,,,,
2020,"$355,306,809.25",5799,,,,,,,,
2021,"$382,182,691.69",5815,,,,,,,,
2022,"$379,789,247.20",5974,,,,,,,,
2023,"$352,343,143.89",5912,,,,,,,,
2024,"$2,265,707,329.40",36068,,,,,,,,
2025,"$1,875,754,718.43",30431,,,,,,,,
Grand Total,"$5,611,083,939.86",89999,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Product-wise Revenue and Transaction Analysis,,,,,,,,,,
,,,,,,,,,,
Product_Name,SUM of Total_Revenue,COUNTA of Transaction_ID,,,,,,,,
Coffee Machine,"$1,087,346,691.79",17812,,,,,,,,
Headphones,"$1,127,817,542.85",17928,,,,,,,,
Laptop,"$1,121,752,611.82",17954,,,,,,,,
Smartphone,"$1,115,334,783.13",18053,,,,,,,,
Tablet,"$1,150,061,144.16",18127,,,,,,,,
Unknown,"$8,771,166.11",125,,,,,,,,
Grand Total,"$5,611,083,939.86",89999,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Payment Method Transaction Success and Failure Analysis
",,,,,,,,,,
COUNTA of Transaction_ID,Transaction_Status,,,,,,,,,
Payment_Method,Completed,Failed,Pending,Unknown,Grand Total,,,,,
Cash,6370,2106,2133,2149,12758,,,,,
Credit Card,19255,6551,6456,6489,38751,,,,,
Pay Pal,19262,6485,6374,6369,38490,,,,,
Grand Total,44887,15142,14963,15007,89999,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Customer Segment Performance and Revenue Contribution,,,,,,,,,,
,,,,,,,,,,
,Transaction_Status,Values,,,,,,,,
,Completed,,Failed,,Pending,,Unknown,,Grand Total,
Customer_Segment,COUNTA of Transaction_ID,SUM of Total_Revenue,COUNTA of Transaction_ID,SUM of Total_Revenue,COUNTA of Transaction_ID,SUM of Total_Revenue,COUNTA of Transaction_ID,SUM of Total_Revenue,COUNTA of Transaction_ID,SUM of Total_Revenue
Standard,21329,"$2,788,691.99",7250,"$940,573.11",7034,"$930,091.49",7236,"$979,140.19",42849,"$5,638,496.78"
VIP,23558,"$2,792,983,536.63",7892,"$942,059,020.50",7929,"$946,560,033.60",7771,"$923,842,852.35",47150,"$5,605,445,443.08"
Grand Total,44887,"$2,795,772,228.62",15142,"$942,999,593.61",14963,"$947,490,125.09",15007,"$924,821,992.54",89999,"$5,611,083,939.86"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Customer Segment Performance and Revenue Contribution,,,,,,,,,,
,,,,,,,,,,
Day_of_Week,SUM of Total_Revenue,COUNTA of Transaction_ID,,,,,,,,
Friday,"$2,108,328,223.26",34140,,,,,,,,
Monday,"$2,152,474,739.32",34473,,,,,,,,
Saturday,"$264,351,481.57",4250,,,,,,,,
Sunday,"$265,653,633.86",4299,,,,,,,,
Thursday,"$277,030,531.97",4322,,,,,,,,
Tuesday,"$265,763,115.91",4224,,,,,,,,
Wednesday,"$277,482,213.97",4291,,,,,,,,
Grand Total,"$5,611,083,939.86",89999,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Revenue and Transaction Distribution Across Revenue Bands,,,,,,,,,,
,,,,,,,,,,
Revenue_Band,SUM of Total_Revenue,COUNTA of Transaction_ID,,,,,,,,
High,"$92,394,357.53",20443,,,,,,,,
Low,"$1,167,342.43",36922,,,,,,,,
Medium,"$15,950,400.19",13587,,,,,,,,
Premium,"$5,501,571,839.71",19047,,,,,,,,
Grand Total,"$5,611,083,939.86",89999,,,,,,,,
